Jahr,Opfer <18 (alle Beziehungen) bei Mord/Totschlag/Tötung a.V.
2000,144
2001,141
2002,125
2003,115
2004,118
2005,116
2006,109
2007,97
2008,108
2009,97
2010,90
2011,87
2012,85
2013,71
2014,69
2015,67
2016,92
2017,68
2018,77
2019,53
2020,83
2021,94
2022,59
2023,80
